SYMBOL,56,63,84,156,112,203,147,168,259,400,645,1375,1740,3200,4295,5025,5755,7215,7945,8675,11230,13420,13785,14880
PTPRT,1,0.754796217,0.400570505,0.495658266,0.900593246,0.498273771,1.823922619,0.360572019,0.398835191,0.718741708,1.335602554,0.249868333,0.268355999,0.631250695,0.349055427,0.751855088,0.775599037,0.788842748,1.548887166,0.430304672,1.437066996,1.212772462,1.137609842,0.266599293
CHRM3,1,2.775372047,1.168533618,1.690799445,3.170856676,1.41274141,4.196162823,0.177197535,0.787251,3.824832168,7.53925415,1.9224594,2.43289744,4.0668136,3.781699345,4.246468099,3.776408609,3.129264255,12.08097043,1.395787574,4.225880366,4.185524424,6.188679178,1.240098106
TBL1XR1,1,2.085395058,1.448475201,1.047200011,1.130500657,1.5125182,1.12204035,1.767354778,0.96234505,0.921680903,1.168580255,0.670098872,1.045372878,1.045490717,1.35817813,0.908873152,1.66197732,0.522355431,1.662100513,0.779519443,0.744755226,0.750493815,1.154839732,1.429406068
KHDRBS2,1,0.739786442,1.001314266,1.023416241,1.096973776,0.673343393,1.079607459,0.154796906,0.137441861,0.419925526,0.571051624,0.123901388,0.348662415,0.569507977,0.417385346,0.411797706,0.496430678,0.440329031,0.633156162,0.191443753,0.457626826,0.441748785,0.457960452,0.899088485
SORCS3,1,2.100850441,2.256211775,2.340112357,2.584982783,1.791891595,3.465728668,1.941204201,1.969079995,2.353409089,3.72583134,1.090814779,1.723258044,1.900321457,1.580520752,2.557712648,2.578809882,2.36183951,3.635155731,1.608581816,2.820452537,2.77489126,2.458783814,2.668379867
CNTNAP5,1,1.105938552,1.06595004,1.10757898,1.156570718,0.223050432,0.667432693,0.154336293,0.207683577,0.528287311,1.787773411,0.265533641,0.038919597,0.646291284,0.170950967,0.37807789,1.276280321,0.394248201,1.274658696,0.284165363,0.312751118,0.475846166,0.189268933,0.048933979
FHIT,1,1.118859716,1.064926599,1.265152219,1.876632971,1.994003699,2.788648496,3.025637313,10.86589612,8.475314899,9.724426863,8.402802826,8.710018627,8.814448951,8.81691207,7.186938464,5.784751887,8.321391194,4.365800681,11.77775511,11.29698474,8.689607509,11.55502972,11.93847045
NPFFR2,1,0.189710701,0.145592917,0.067385242,0.089355178,0.020978853,0.16834774,0.027784089,0.036468204,0.096386831,0.090405547,0.054802036,0.199900001,0.296819449,0.67842669,0.102775154,1.041319043,0.347203134,0.214367233,0.065428057,0.516104902,0.301850298,0.272455556,0.386364657
NR4A2,1,0.429333787,22.72193357,18.16429317,11.71441084,7.807536802,13.79199178,0.902637495,1.240536559,2.439718412,8.686543838,1.376467014,8.273914127,3.081446527,1.219065969,7.551007554,1.224420652,3.213057519,6.006218098,8.787727444,2.114993821,2.846134753,2.267151296,2.418197589
