Gene,56,84,91,112,119,133,147,168,182,259,400,580,645,1010,1375,1740,3200,4295,5025,5755,6850,7215,7945,8675,11230,13420,13785,14880
PTPRT,1,0.597349996,3.973393888,4.485476461,2.418271897,2.149644654,4.706559094,1.557651561,1.413078827,2.307606194,3.123182438,1.911807269,7.900576661,0.339354514,1.140580679,0.906813048,3.667548195,1.597941686,4.951229923,5.167935669,0.613194763,7.857126938,7.711900406,3.834957094,7.87676491,7.341549517,9.91111411,9.659300574
CHRM3,1,0.589453801,1.289771634,1.954210471,1.811748585,1.459043123,5.185575059,3.803186713,0.319766553,3.528254671,5.466192816,3.699213373,15.51887879,0.587996606,2.976008382,3.236011416,8.550364823,7.589678887,9.131460871,13.30223827,1.281213462,10.66863632,13.36046813,6.808404991,8.269439963,9.399517023,9.561617851,9.680766252
TBL1XR1,1,0.857522669,0.866367847,0.724345079,0.687208234,0.540365999,0.676201058,0.891354076,1.25350257,0.526075474,0.739272332,0.687995752,1.018725879,0.253644075,0.538193209,0.99927332,0.962357029,1.83211034,0.541989597,1.3757435,0.253432627,0.781668582,1.075463464,0.652467465,0.583869693,0.846944695,0.532762632,0.896115336
KHDRBS2,1,1.359900938,2.02000984,1.76975437,1.836850267,1.887207429,1.66709641,1.609352236,2.359085453,0.464181869,0.960821597,1.036564301,1.140946966,0.085648174,0.269920465,1.159497512,1.359358505,1.244422979,0.71707995,1.155896695,0.198890309,0.879676055,0.869855126,0.438133264,0.746924601,0.805473693,0.74874095,0.794652436
SORCS3,1,2.379185172,3.152775386,2.606657177,2.049725543,1.403899519,2.152868523,1.270065456,2.074602136,1.234257349,2.469013132,2.190267194,3.860648295,0.279408106,1.239231902,1.044221936,1.980220655,1.772258435,2.537167529,2.691900499,0.44251663,2.989458898,3.090967935,1.859358407,2.910405734,2.605097375,3.065324554,2.845606832
CNTNAP5,1,3.2610594,3.316703888,1.118104329,0.39800788,0.183565513,1.667069002,0.151361732,0.57254538,0.764168392,1.057177789,1.734252012,6.040910521,0.288056428,0.470852781,0.100970849,2.275021418,0.73291895,1.28266115,2.203955794,0.473115083,2.627091625,4.557534202,0.976325589,1.320616622,1.956550525,3.700511584,1.676630241
FHIT,1,0.266879743,0.491496658,0.799105497,0.401162993,0.58526296,1.261346484,1.238601348,1.077448232,3.165712577,4.235361151,3.839389429,2.572993107,4.161702616,4.017102325,4.585169058,4.206949439,3.548589036,4.774750117,3.239933364,4.511536027,4.779702574,2.451995242,4.965506688,3.838443454,4.308666106,4.427114706,4.97097039
NPFFR2,1,0.184729658,0.06580441,0.620905101,0,0.307587797,1.093575981,0.194767468,0.800852722,1.04795445,0.52411726,0.770480081,1.986592418,0,0.618885026,1.614907443,1.890486874,1.640328218,2.275061004,7.637172967,0.360270654,1.32087918,5.158879841,4.771400735,2.798662817,2.121016831,1.166629423,2.216478812
NR4A2,1,13.85315869,5.815339368,11.87882675,6.500500331,5.438742301,7.910112714,13.87287481,11.20160781,2.184918202,1.929438064,1.069307183,3.559624399,0.097362639,0.514518471,1.602233891,1.997475402,1.434390559,2.884094026,2.026813732,0.729618112,1.754883996,1.98266489,1.688140132,1.266647003,0.888373668,1.817136774,1.156302937
